,genes
820,LHX1
821,TFRC
822,TNFRSF18
823,MIR155HG
824,DLGAP5
825,CPVL
826,JUNB
827,IFRD1
828,GMPR
829,TYMP
830,COL17A1
831,TRAPPC3L
832,GJB2
833,KCNE1
834,PMAIP1
835,FABP3
836,MT-CO1
837,CCNJL
838,CUEDC1
839,CR2
840,SH3BGRL2
841,DCTN1
842,LINC02362
843,KRT1
844,CRISPLD2
845,KRT81
846,IVNS1ABP
847,TRAV22
848,ADGRG1
849,HRK
850,GPX3
851,DUSP6
852,RTKN2
853,VPS9D1
854,KIAA0319L
855,TRAV41
856,CD1C
857,RNASE2
858,NNMT
859,SLC25A44
860,IL18R1
861,PCDH17
862,SCN5A
863,SDC2
864,TIGIT
865,RASSF2
866,DHRS9
867,SNX20
868,STAG3
869,TSPO
870,TLR2
871,KRT5
872,TUBB2B
873,SLC1A3
874,KIAA0087
875,ORM2
876,PDE5A
877,TIMD4
878,SPRY1
879,LINC00299
880,CEBPE
881,PSD4
882,CXCR6
883,OXTR
884,TSPAN2
885,ALDH2
886,ACTB
887,TRAV8-3
888,SVIL
889,OSER1
890,INPPL1
891,FBN1
892,TRAV6
893,FILIP1L
894,TACSTD2
895,HSP90AB1
896,PDGFRA
897,HILPDA
898,RBPMS2
899,TIMP2
900,LGALSL
901,LY9
902,CAPG
903,PGD
904,PRR4
905,ZDHHC18
906,ARL4C
907,TFPI2
908,IRS2
909,RPS27
910,KRT23
911,CREB5
912,ZNF683
913,IGFBP2
914,ADAMTS1
915,AMPD2
916,BRI3
917,ACSS3
918,BATF
919,FCGRT
920,CORO2A
921,PNMT
922,CABP5
923,GFI1B
924,MINDY1
925,FAM178B
926,MVD
927,PGC
928,RNASE3
929,CDKN2D
930,MYADM
931,BIRC3
932,CD300E
933,TRAV24
934,FKBP4
935,ARAF
936,KLK1
937,B2M
938,DNAJB4
939,CD3D
940,C2CD4B
941,IL4R
942,OPRM1
943,YBX3
944,IER5
945,MEGF9
946,TAGLN
947,ABTB1
948,SRA1
949,NEFM
950,SEPTIN5
951,PIK3R5
952,GLDN
953,GPR171
954,DNAH17
955,PFKFB4
956,CKS2
957,NEIL1
958,GSTM3
959,TRGC1
960,CLEC4C
961,KLRC3
962,TLCD4
963,TNC
964,SLC38A11
965,LRRN1
966,KIR3DL2
967,SELENBP1
968,SOCS1
969,FPR2
970,LINC00989
971,LIMS1
972,PPARG
973,KIR2DL3
974,P2RX5
975,EGR3
976,PLK2
977,MAP3K8
978,TTTY14
979,IGSF6
980,MAP3K3
981,KIF1B
982,FOXP3
983,ATP2B1-AS1
984,EDN1
985,DNAH12
986,NTNG2
987,AMY2B
988,HBQ1
989,MORC1
990,TNFSF9
991,IL11RA
992,SLC16A10
993,BTG2
994,NCF2
995,GCSAML
996,AKR1C3
997,ADAM8
998,SCAP
999,VCL
1000,TNFRSF13C
1001,CTSZ
1002,BTBD19
1003,TTLL3
1004,NECAB1
1005,CD209
1006,PTGES
1007,GSTM5
1008,MAN1A1
1009,PPP1R14A
1010,MT-ATP6
1011,P2RY13
1012,ZNF587
1013,OPLAH
1014,TRBV23-1
1015,NME2
1016,CYGB
1017,MTURN
