,genes
4815,FFAR1
4816,NINL
4817,LRP12
4818,DNASE1
4819,THEM4
4820,ABHD17C
4821,IRAK4
4822,RAP1GAP2
4823,RFESD
4824,ZNF250
4825,ZNF703
4826,MFGE8
4827,ACVR1C
4828,SHISAL2A
4829,TENT5B
4830,GATA6
4831,NPTXR
4832,RBM23
4833,FGF22
4834,CDH20
4835,CATSPERB
4836,ZNF563
4837,GKAP1
4838,LINC01635
4839,SHARPIN
4840,GCLC
4841,DDX42
4842,WASIR2
4843,GNG3
4844,SERPINB9P1
4845,SPRED1
4846,ANTXR2
4847,C8G
4848,ZC3H12D
4849,LINC01374
4850,FBXL22
4851,MCM5
4852,DDHD2
4853,ACP6
4854,ITPRIPL1
4855,CKAP2
4856,LINC02851
4857,ZNF540
4858,MTMR12
4859,ZNF595
4860,TRIM34
4861,TRA2B
4862,PBK
4863,USP32
4864,CXXC5
4865,APOBEC3F
4866,LRATD2
4867,RYBP
4868,PROX2
4869,ZNF267
4870,RABEP2
4871,S100PBP
4872,TMEM98
4873,ZNF431
4874,SOX7
4875,RACGAP1
4876,VWDE
4877,DENND2A
4878,ANKZF1
4879,SNN
4880,SLC20A1
4881,RAD50
4882,FSIP1
4883,LINC00877
4884,CACNG8
4885,MMP11
4886,CMTM6
4887,WDR35
4888,ENAH
4889,ABHD15
4890,ITPR1
4891,HKDC1
4892,NOMO2
4893,PPFIBP1
4894,LOXL2
4895,AP1G1
4896,ENOSF1
4897,DNAH10
4898,MCM2
4899,CELA1
4900,ITGB7
4901,CMTM1
4902,ZBTB20-AS5
4903,CLIC2
4904,BBS1
4905,TMEM263
4906,SNX15
4907,RAPGEF2
4908,ANKRD26
4909,MYDGF
4910,CAPS
4911,SLC35D3
4912,PNMA1
4913,MAP3K9
4914,DHRS13
4915,PPP3CB
4916,SESN2
4917,PRRT2
4918,COPG1
4919,SLC6A16
4920,GNAI3
4921,MATN1
4922,EFHC2
4923,STIMATE
4924,ADRA2B
4925,WNT5A
4926,PTPRN2
4927,TMOD1
4928,RETREG1
4929,XKR4
4930,ACLY
4931,SFXN5
4932,ZMYND10
4933,RGN
4934,SSTR2
4935,MAX
4936,DRC3
4937,NME1
4938,NXPE3
4939,LRRC32
4940,SLC31A2
4941,RAMP2
4942,LINC02595
4943,ITPKB
4944,TMEM205
4945,CYP3A5
4946,FAM153CP
4947,MTTP
4948,DBF4
4949,PIGM
4950,LPAR5
4951,PTTG1IP
4952,PITX1
4953,RNF31
4954,ZNF318
4955,ADRB1
4956,BRMS1
4957,MIR9-3HG
4958,SLC12A2
4959,ZMIZ2
4960,RFTN2
4961,SOGA3
4962,PATJ
4963,LINC00663
4964,PRKCA
4965,FANCI
4966,CLEC4A
4967,RAB20
4968,FBXL13
4969,RIMKLB
4970,SAXO2
4971,ACSM1
4972,GALNT8
4973,CCNL1
4974,NAP1L5
4975,DENND5B
4976,ARL15
4977,CFDP1
4978,TTTY10
4979,UNG
4980,NDRG4
4981,TPRG1
4982,RABGAP1L-DT
4983,TCTN1
4984,SRGAP3
4985,DIRAS1
4986,ZNF709
4987,NR1H3
4988,TMEM106C
4989,ACAD9
4990,CAPN5
4991,ZBTB37
4992,MCM6
4993,PECR
4994,LCORL
4995,LINC00324
4996,NFATC1
4997,RAB4B
4998,CNKSR2
4999,PARD6B
