,feature_name
LCN2,LCN2
WDR19,WDR19
IGHV4-28,IGHV4-28
KDM8,KDM8
GFI1B,GFI1B
SELL,SELL
ADAL,ADAL
CREG2,CREG2
TTC23,TTC23
IFITM3,IFITM3
PRSS36,PRSS36
EBF3,EBF3
ERICH3,ERICH3
TRGC1,TRGC1
KIF14,KIF14
AGAP3,AGAP3
KIR3DL2,KIR3DL2
NUDT13,NUDT13
ZNF610,ZNF610
ABLIM3,ABLIM3
SMIM18,SMIM18
CDC45,CDC45
ABCA7,ABCA7
LINC02285,LINC02285
LINC00900,LINC00900
POLE,POLE
ACER1,ACER1
PHACTR4,PHACTR4
GATA1,GATA1
TMEM97,TMEM97
NMB,NMB
LAMP3,LAMP3
CLDN4,CLDN4
DCT,DCT
PDE7B,PDE7B
LINC01781,LINC01781
CDH23,CDH23
ZNF569,ZNF569
GAS6-DT,GAS6-DT
IGHV1-69,IGHV1-69
PLXNA4,PLXNA4
TRPM4,TRPM4
KIR2DL3,KIR2DL3
CFAP57,CFAP57
ZNHIT2,ZNHIT2
PF4,PF4
GALNT16,GALNT16
HSPA1A,HSPA1A
FLT1,FLT1
TMEM119,TMEM119
GNMT,GNMT
FOXD2,FOXD2
GRHL1,GRHL1
TBX21,TBX21
ENO4,ENO4
CD163,CD163
MIR193BHG,MIR193BHG
ANKS6,ANKS6
HSPA2,HSPA2
LTBP1,LTBP1
TPSAB1,TPSAB1
UST,UST
TREML2,TREML2
IGHV3-13,IGHV3-13
LINC02202,LINC02202
PDGFRB,PDGFRB
KCNQ5,KCNQ5
VIPR2,VIPR2
DCUN1D4,DCUN1D4
TIGD2,TIGD2
ZYG11A,ZYG11A
LINC01857,LINC01857
ICOS,ICOS
RUNDC3B,RUNDC3B
NEB,NEB
SMYD5,SMYD5
NRP1,NRP1
TSC22D1,TSC22D1
FABP5,FABP5
ANKRD33B,ANKRD33B
MELTF,MELTF
ADAMTS2,ADAMTS2
ANO7,ANO7
BPGM,BPGM
FAM20A,FAM20A
CTSS,CTSS
PRLR,PRLR
PRPH2,PRPH2
NPM2,NPM2
MIR194-2HG,MIR194-2HG
IFI27,IFI27
SLC35F2,SLC35F2
TRBV10-2,TRBV10-2
GGH,GGH
RCAN1,RCAN1
SYN1,SYN1
ZNF420,ZNF420
IGHG2,IGHG2
CLTRN,CLTRN
NEK10,NEK10
P2RY12,P2RY12
EGF,EGF
IGLC3,IGLC3
E4F1,E4F1
FZD3,FZD3
TRBV7-6,TRBV7-6
S1PR5,S1PR5
PGC,PGC
LINC00954,LINC00954
NHLRC1,NHLRC1
IGDCC4,IGDCC4
ZNF225,ZNF225
MYBPC2,MYBPC2
RNF144A,RNF144A
THBD,THBD
RRAD,RRAD
GDPGP1,GDPGP1
ZNF211,ZNF211
ZDHHC13,ZDHHC13
SLC25A27,SLC25A27
TNIP3,TNIP3
SPATA7,SPATA7
RSPH9,RSPH9
CUL9,CUL9
GNG11,GNG11
ATP6V0C,ATP6V0C
SDC4,SDC4
TJP2,TJP2
LINC02762,LINC02762
THRB,THRB
GUCY1B1,GUCY1B1
PDGFB,PDGFB
LINC02363,LINC02363
ME3,ME3
NCALD,NCALD
DRICH1,DRICH1
TRDMT1,TRDMT1
SCRG1,SCRG1
ZSWIM1,ZSWIM1
ZNF548,ZNF548
EEF1A2,EEF1A2
HOXB7,HOXB7
CUEDC1,CUEDC1
ULK4,ULK4
ARL4D,ARL4D
CDNF,CDNF
TRBV4-2,TRBV4-2
COQ3,COQ3
SPG11,SPG11
CCDC80,CCDC80
NBPF3,NBPF3
CPT1B,CPT1B
PLAT,PLAT
PLBD1,PLBD1
HPGD,HPGD
CAB39L,CAB39L
CLEC1B,CLEC1B
ESAM,ESAM
CRYM,CRYM
DNAJB5,DNAJB5
S100A8,S100A8
HACE1,HACE1
NRG4,NRG4
SPTLC3,SPTLC3
DCN,DCN
RAB15,RAB15
TBC1D32,TBC1D32
ORM2,ORM2
METTL22,METTL22
SLC24A1,SLC24A1
RAVER2,RAVER2
RNF25,RNF25
ZNF74,ZNF74
ZNF165,ZNF165
SS18L1,SS18L1
DHX34,DHX34
LINC02404,LINC02404
TRBV9,TRBV9
DMKN,DMKN
